Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=144&year=26"" target=""_blank"">HB 144</a>",CRIME OF UNLAWFUL SQUATTING,Catherine J. Cullen; Rod Montoya; John Block,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=145&year=26"" target=""_blank"">HB 145</a>",HIGH-WAGE JOB TAX CREDIT DATES,Joshua N. Hernandez; Meredith A. Dixon,HTRC: Reported by committee with Do Pass recommendation,House Calendar,02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=146&year=26"" target=""_blank"">HB 146</a>",FELON IN POSSESSION OF FIREARM PENALTY,Nicole Chavez; Andrea Reeb; Art De La Cruz; Joy Garratt,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=147&year=26"" target=""_blank"">HB 147</a>",POSTING OF NOTICES OF HUMAN TRAFFICKING,Raymundo Lara,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=148&year=26"" target=""_blank"">*HB 148</a>",PROPERTY TAX AFFIDAVITS,Patricia A. Lundstrom; Derrick J. Lente; Javier Martínez; Mark Duncan; Michael Padilla,Sent to HCEDC - Referrals: HCEDC/HTRC,House Commerce & Economic Development Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=149&year=26"" target=""_blank"">HB 149</a>",CHARTER SCHOOLS & NMFA,Joy Garratt; Kristina Ortez; D. Wonda Johnson; William E. Sharer,Sent to HAFC - Referrals: HAFC,House Appropriations & Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=150&year=26"" target=""_blank"">HB 150</a>",SUPERVISION OF PHYSICIAN ASSISTANTS,"Jenifer Jones; Elizabeth ""Liz"" Thomson",Not Printed,House Rules & Order of Business Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=151&year=26"" target=""_blank"">HB 151</a>",CHILDHOOD SEXUAL ABUSE STATUTE OF LIMITATIONS,"Marianna Anaya; Mimi Stewart; Elizabeth ""Liz"" Thomson",HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,Scheduled for House Appropriations & Finance Committee                                                                                                                                                                                                                        on 2/15/2026,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=152&year=26"" target=""_blank"">HB 152</a>",ENVIRONMENTAL PRODUCT DECLARATION ACT,Meredith A. Dixon; Kristina Ortez,Not Printed,House Rules & Order of Business Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=153&year=26"" target=""_blank"">HB 153</a>",LOW-CARBON CONSTRUCTION MATERIAL REBATE ACT,Meredith A. Dixon; Kristina Ortez; Nathan P. Small; Tara L. Lujan,HAFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=154&year=26"" target=""_blank"">HB 154</a>",ADVANCED ENERGY PRODUCT DEFINITION,Meredith A. Dixon; Linda Serrato; Joshua N. Hernandez; Nicole Tobiassen,Sent to STBTC - Referrals: STBTC,"Senate Tax, Business and Transportation Committee",02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=155&year=26"" target=""_blank"">HB 155</a>","FIREWORKS BANS, VIOLATIONS & FINES",Meredith A. Dixon; Joy Garratt; Anthony L. Thornton,Not Printed,House Rules & Order of Business Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=156&year=26"" target=""_blank"">HB 156</a>",REPEAL SPECIAL SESSION VACCINATION LAWS,"Dayan Hochman-Vigil; Elizabeth ""Liz"" Thomson",Sent to SHPAC - Referrals: SHPAC,Senate Health and Public Affairs Committee,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=157&year=26"" target=""_blank"">HB 157</a>",PREGNANCY & PARENTING RESOURCE WEBSITE,Jenifer Jones; Rebecca Dow,Sent to HHHC - Referrals: HHHC/HAFC,House Health & Human Services Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=158&year=26"" target=""_blank"">HB 158</a>",PLANS ON USE OF CERTAIN FUNDS,Charlotte Little; Sarah Silva; Meredith A. Dixon; Michelle Paulene Abeyta; Anita Gonzales,Sent to SFC - Referrals: SFC,Scheduled for Senate Finance Committee                                                                                                                                                                                                                                        on 2/15/2026,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=159&year=26"" target=""_blank"">HB 159</a>",K-12 STUDENT MENTAL HEALTH PLATFORM,Tara L. Lujan; Cynthia Borrego,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=160&year=26"" target=""_blank"">HB 160</a>",CREATE ALL CITIES & COUNTIES FUND,Elaine Sena Cortez; Javier Martínez; Gail Armstrong; Jonathan A. Henry,HGEIC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=161&year=26"" target=""_blank"">HB 161</a>",CHANGE K-12 PROGRAM UNIT CALCULATION,Elaine Sena Cortez,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=162&year=26"" target=""_blank"">HB 162</a>",MOTOR VEHICLE CRIMES & PENALTIES,Art De La Cruz; Cynthia Borrego; Heather Berghmans,Not Printed,House Rules & Order of Business Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=163&year=26"" target=""_blank"">HB 163</a>",DENIAL OF BAIL FOR CERTAIN OFFENSES,Nicole Chavez; Andrea Reeb,Not Printed,House Rules & Order of Business Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=164&year=26"" target=""_blank"">HB 164</a>",LOBBYING ACTIVITY REPORTS,Sarah Silva; Jeff Steinborn; Joseph Franklin Hernandez,"Failed to Pass in House, Bill has Died",Died,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=165&year=26"" target=""_blank"">HB 165</a>",PAYMENT OF CERTAIN IRB SPECIAL ASSESSMENTS,Linda Serrato; Meredith A. Dixon; D. Wonda Johnson; Cynthia Borrego,Sent to STBTC - Referrals: STBTC,"Senate Tax, Business and Transportation Committee",02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=166&year=26"" target=""_blank"">HB 166</a>",LIMIT RESTRICTIONS ON CERTAIN FENCES,Linda Serrato; Alan T. Martinez,Sent to SJC - Referrals: SJC,Senate Judiciary Committee,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=167&year=26"" target=""_blank"">HB 167</a>",NOTICE OF SALE OF MOBILE HOME PARKS,Cristina Parajón; Patricia Roybal Caballero,Not Printed,House Rules & Order of Business Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=168&year=26"" target=""_blank"">HB 168</a>",NEW HOMES FOR NEW MEXICO PROGRAM,Cristina Parajón,Sent to HRDLC - Referrals: HRDLC/HAFC,"House Rural Development, Land Grants And Cultural Affairs",01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=169&year=26"" target=""_blank"">HB 169</a>",UNM DEPT. OF CHICANA & CHICANO STUDIES,Anita Gonzales; Linda M. López; Patricia Roybal Caballero,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=170&year=26"" target=""_blank"">HB 170</a>",UNM BASIC NEEDS PROJECT,Marianna Anaya,HEC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=171&year=26"" target=""_blank"">HB 171</a>",WILDFIRE FUND ACT,Linda Serrato; Peter Wirth; Javier Martínez; Christine Chandler,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=172&year=26"" target=""_blank"">*HB 172</a>",SAFE STAFFING ACT & NURSING HOMES,"Eleanor Chávez; Joanne J. Ferrary; Reena Szczepanski; Elizabeth ""Liz"" Thomson; Kathleen Cates",Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=173&year=26"" target=""_blank"">HB 173</a>",DEMENTIA CARE SPECIALIST PROGRAM,Pamelya Herndon; Kathleen Cates; Reena Szczepanski,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=174&year=26"" target=""_blank"">HB 174</a>",CHATBOT SAFETY ACT,Andrea Romero; Art De La Cruz,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=175&year=26"" target=""_blank"">HB 175</a>",REPORTING ON SCHOOL BUS DATA,Kristina Ortez; Joy Garratt,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=176&year=26"" target=""_blank"">HB 176</a>",CREATE ZERO INTEREST DOWN PAYMENT LOAN FUND,Alan T. Martinez; Rebecca Dow; Jonathan A. Henry,Sent to HCEDC - Referrals: HCEDC/HAFC,House Commerce & Economic Development Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=177&year=26"" target=""_blank"">HB 177</a>",VETERAN SERVICE ANIMAL SERVICES & SHELTER,Alan T. Martinez; Mark Duncan; Rebecca Dow; Cynthia Borrego; D. Wonda Johnson,HLVMC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=178&year=26"" target=""_blank"">HB 178</a>",SUN SHADES FOR RURAL PARKS & RECREATION,Jimmy G. Mason,HHHC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Appropriations & Finance Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=179&year=26"" target=""_blank"">HB 179</a>",SEALED JUVENILE RECORD & PRETRIAL DETENTION,Nicole Chavez; Andrea Reeb,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=180&year=26"" target=""_blank"">HB 180</a>",USE OF EMERGENCY FUNDS & DISASTERS,Harlan Vincent; Susan K. Herrera,Sent to SFC - Referrals: SFC,Scheduled for Senate Finance Committee                                                                                                                                                                                                                                        on 2/15/2026,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=181&year=26"" target=""_blank"">HB 181</a>",REPORTING ON CHILDREN STAYING IN CYFD OFFICES,Rebecca Dow; Tanya Mirabal Moya; Alan T. Martinez,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=182&year=26"" target=""_blank"">HB 182</a>",VIOLATION OF CURFEW AS DELINQUENT ACT,Martin R. Zamora,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=183&year=26"" target=""_blank"">HB 183</a>",STATEWIDE DRINKING WATER NEEDS,Martin R. Zamora,HAAWC: Reported by committee with Do Pass recommendation,Scheduled for House Appropriations & Finance Committee                                                                                                                                                                                                                        on 2/15/2026,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=184&year=26"" target=""_blank"">HB 184</a>",INVESTMENT OF CONSERVATION & LEGACY FUNDS,Nathan P. Small; Jack Chatfield; Joseph L. Sanchez; Linda M. Trujillo,Sent to SFC - Referrals: SFC,Senate Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=185&year=26"" target=""_blank"">HB 185</a>",PED SECRETARY & LOCAL SCHOOL BOARD MEMBERS,Susan K. Herrera; Brian G. Baca; Joy Garratt; Debra M. Sariñana,HEC: Reported by committee with Do Pass recommendation,"House Government, Elections & Indian Affairs Committee",02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=186&year=26"" target=""_blank"">HB 186</a>",TAX CREDIT FOR CONVEYANCE OF PROPERTY,"Susan K. Herrera; Rebecca Dow; Roberto ""Bobby"" J. Gonzales",HCEDC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=187&year=26"" target=""_blank"">*HB 187</a>",RURAL HOSPITAL MALPRACTICE LIABILITY INS. ACT,D. Wonda Johnson,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=188&year=26"" target=""_blank"">HB 188</a>",REMOVAL OF HAZARDS ON ROADS,Angelita Mejia; Dayan Hochman-Vigil; Jonathan A. Henry; Mark B. Murphy; Jimmy G. Mason,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=189&year=26"" target=""_blank"">HB 189</a>",CYFD SUPPORT & SERVICES TO LGBTQ+ FAMILIES,Marianna Anaya,Sent to HHHC - Referrals: HHHC/HAFC,House Health & Human Services Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=190&year=26"" target=""_blank"">HB 190</a>",HOMELESSNESS SERVICES FOR LGBTQ+,Marianna Anaya,Sent to HHHC - Referrals: HHHC/HAFC,House Health & Human Services Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=191&year=26"" target=""_blank"">HB 191</a>",PED SERVICES FOR LGBTQ+,Marianna Anaya,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=192&year=26"" target=""_blank"">HB 192</a>",NO FOREIGN CORPORATION PURCHASE OF HOMES,Rod Montoya; Catherine J. Cullen,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=193&year=26"" target=""_blank"">HB 193</a>",SCHOLARSHIPS FOR PRIVATE ED & TAX CREDITS,Rod Montoya,Sent to HEC - Referrals: HEC/HTRC,House Education Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=194&year=26"" target=""_blank"">HB 194</a>",EXPAND METRO REDEVELOPMENT CODE & PROJECTS,Cristina Parajón; Peter Wirth; Nicole Tobiassen,Sent to HRDLC - Referrals: HRDLC/HTRC,"House Rural Development, Land Grants And Cultural Affairs",01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=195&year=26"" target=""_blank"">HB 195</a>",COLLECTION OF MEDICAL MALPRACTICE JUDGEMENTS,Reena Szczepanski,HJC: Reported by committee with Do Pass recommendation with amendment(s),House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=196&year=26"" target=""_blank"">HB 196</a>",PENALTY FOR RECEIVING STOLEN FIREARM,Andrea Reeb,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=197&year=26"" target=""_blank"">HB 197</a>",INCREASE PENALTY FOR LARCENY OF FIREARM,Andrea Reeb,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=198&year=26"" target=""_blank"">HB 198</a>",BEHAVIORAL HEALTH & FIRST RESPONDER TRAINING,Alan T. Martinez; Harlan Vincent,HHHC: Reported by committee without a recommendation,House Appropriations & Finance Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=199&year=26"" target=""_blank"">HB 199</a>",SEX OFFENDER REGISTRATION & FEDERAL LAW,Cathrynn N. Brown; Meredith A. Dixon,HCPAC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Judiciary Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=200&year=26"" target=""_blank"">HB 200</a>",NEW HOMES FOR NEW MEXICO PROGRAM,Cristina Parajón; Javier Martínez; Heather Berghmans; Cindy Nava,Sent to STBTC - Referrals: STBTC,"Senate Tax, Business and Transportation Committee",02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=201&year=26"" target=""_blank"">HB 201</a>",IPRA TASK FORCE FUNDING,Cathrynn N. Brown; Natalie Figueroa,HJC: Reported by committee with Do Pass recommendation with amendment(s),House Appropriations & Finance Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=202&year=26"" target=""_blank"">HB 202</a>",CHILD ADVOCATE OFFICE DATA SHARING,Rebecca Dow; Gail Armstrong; Michelle Paulene Abeyta,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=203&year=26"" target=""_blank"">HB 203</a>",SPACEPORT AUTHORITY BOARD MEMBERS,Rebecca Dow; Gail Armstrong,Not Printed,House Rules & Order of Business Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=204&year=26"" target=""_blank"">HB 204</a>",WILDFIRE RISK INSURANCE MODELS & UNDERWRITING,Anita Gonzales,Not Printed,House Rules & Order of Business Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=205&year=26"" target=""_blank"">HB 205</a>",SCHOOL TEACHER PROFESSIONAL DEVELOPMENT,Anita Gonzales,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=206&year=26"" target=""_blank"">HB 206</a>",CRIME VICTIM REPARATION ADDITIONAL CRIMES,Nicole Chavez; Andrea Reeb; Cristina Parajón,HJC: Reported by committee with Do Pass recommendation,House Calendar,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=207&year=26"" target=""_blank"">HB 207</a>",WATER QUALITY COMMISSION PRODUCED WATER RULES,Cathrynn N. Brown; Jimmy G. Mason; Mark B. Murphy; Jonathan A. Henry; Elaine Sena Cortez,Sent to HAAWC - Referrals: HAAWC/HGEIC,"House Agriculture, Acequias And Water Resources",01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=208&year=26"" target=""_blank"">*HB 208</a>",LAW ENFORCEMENT ID AND CONCEALING IDENTITY,Janelle Anyanonu; Dayan Hochman-Vigil; Javier Martínez; Antoinette Sedillo Lopez; Eleanor Chávez,Not Printed,House Rules & Order of Business Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=209&year=26"" target=""_blank"">HB 209</a>",FIREFIGHTER NO-COST CANCER SCREENING,Joshua N. Hernandez; Harlan Vincent; Andrea Reeb,Not Printed,House Rules & Order of Business Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=210&year=26"" target=""_blank"">HB 210</a>",HEALTH INFO EXCHANGE INFO SHARING,"Elizabeth ""Liz"" Thomson; Marianna Anaya; Reena Szczepanski; Joanne J. Ferrary",HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=211&year=26"" target=""_blank"">HB 211</a>",SPEECH-LANGUAGE PATHOLOGY LICENSE,"Elizabeth ""Liz"" Thomson",Not Printed,House Rules & Order of Business Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=212&year=26"" target=""_blank"">HB 212</a>",VOICE & VISUAL LIKENESS RIGHTS ACT,Tara L. Lujan; Joseph L. Sanchez,Not Printed,House Rules & Order of Business Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=213&year=26"" target=""_blank"">HB 213</a>",EXPAND OPTOMETRY ACT,Dayan Hochman-Vigil,Passed in the House of Representatives - Y:56 N:10,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=214&year=26"" target=""_blank"">HB 214</a>",CONSUMER INFORMATION AND DATA PROTECTION ACT,Linda Serrato; Joshua N. Hernandez; Anita Gonzales; Doreen Y. Gallegos; Rebecca Dow,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=215&year=26"" target=""_blank"">HB 215</a>",OFF-HIGHWAY VEHICLE OPERATING AUTHORIZATION,Luis M. Terrazas; Jenifer Jones; Gabriel Ramos,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=216&year=26"" target=""_blank"">HB 216</a>",OFF-HIGHWAY MOTOR VEHICLE ACT CHANGES,Luis M. Terrazas; Jenifer Jones; Gabriel Ramos; Crystal Brantley,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=217&year=26"" target=""_blank"">HB 217</a>",WESTERN NM UNIVERSITY DIGITIZATION FUNDING,Luis M. Terrazas; Gabriel Ramos; Crystal Brantley; Jenifer Jones,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=218&year=26"" target=""_blank"">HB 218</a>",ATTENDANCE FOR SUCCESS ACT ENFORCEMENT,Luis M. Terrazas; Gabriel Ramos,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=219&year=26"" target=""_blank"">HB 219</a>",ATTENDANCE FOR SUCCESS ACT CHANGES,Luis M. Terrazas; Gabriel Ramos,Sent to HEC - Referrals: HEC/HJC,House Education Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=220&year=26"" target=""_blank"">HB 220</a>",TIME OF SALE OR TRANSFER FOR DELINQUENT TAXES,Pamelya Herndon; D. Wonda Johnson; Cynthia Borrego,HGEIC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=221&year=26"" target=""_blank"">HB 221</a>",ARMED FORCES RETIREMENT PAY TAX EXEMPTION,John Block; Stefani Lord; Alan T. Martinez; Jonathan A. Henry; Jimmy G. Mason,HLVMC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=222&year=26"" target=""_blank"">HB 222</a>",VOTER IDENTIFICATION REQUIREMENTS,John Block; Jimmy G. Mason; Stefani Lord,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=223&year=26"" target=""_blank"">HB 223</a>",LITIGATION FINANCING TRANSPARENCY ACT,Marian Matthews,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=224&year=26"" target=""_blank"">HB 224</a>",MEDICAL CARE EXPENSES TAX DEDUCTION,Randall T. Pettigrew; Gail Armstrong,HHHC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=225&year=26"" target=""_blank"">HB 225</a>",EIB & SALE OF ZERO-EMISSION VEHICLES,Randall T. Pettigrew; Jimmy G. Mason; John Block,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=226&year=26"" target=""_blank"">HB 226</a>",NATURAL GAS AS RENEWABLE ENERGY,Randall T. Pettigrew; Jimmy G. Mason; John Block,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=227&year=26"" target=""_blank"">HB 227</a>",CLEAN TRANSPORTATION FUEL REPEALS,Randall T. Pettigrew; Jimmy G. Mason; John Block,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=228&year=26"" target=""_blank"">HB 228</a>",FIREARMS & TRAFFICKING CONTROLLED SUBSTANCES,Randall T. Pettigrew; John Block,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=229&year=26"" target=""_blank"">HB 229</a>",TRANSPARENCY IN GOVERNMENT CONTRACTING,Randall T. Pettigrew; Jimmy G. Mason; John Block,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=230&year=26"" target=""_blank"">HB 230</a>",INTERIM ADMIN. RULES OVERSIGHT COMMITTEE,Randall T. Pettigrew; Jimmy G. Mason; John Block,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=231&year=26"" target=""_blank"">HB 231</a>",RULEMAKING INFO TO LEGISLATORS,Randall T. Pettigrew; John Block; Jimmy G. Mason,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=232&year=26"" target=""_blank"">HB 232</a>",GUN STORAGE TAX CREDIT,Randall T. Pettigrew; Jimmy G. Mason; John Block,Sent to HCPAC - Referrals: HCPAC/HTRC,House Consumer & Public Affairs Committee,01/29/2026
